text,labels,primary_label,lang,tag,role,model_input,template_id,source,y_confirmshaming,y_false_urgency,y_forced_action,y_obstruction,y_scarcity,y_sneaking,y_social_proof,y_benign
I'd rather pay full price for phone case,confirmshaming,confirmshaming,en,span,modal_text,[TAG=span] [ROLE=modal_text] I'd rather pay full price for phone case,confirmshaming:en:01,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, I don't want Rs. 399 off office chair",confirmshaming,confirmshaming,en,a,decline,"[TAG=a] [ROLE=decline] No thanks, I don't want Rs. 399 off office chair",confirmshaming:en:18,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे फॉर्मल शर्ट पर रु. 2,499 छूट नहीं चाहिए",confirmshaming,confirmshaming,hi,span,modal_text,"[TAG=span] [ROLE=modal_text] नहीं, मुझे फॉर्मल शर्ट पर रु. 2,499 छूट नहीं चाहिए",confirmshaming:hi:16,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे कोलकाता के Gyapu ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,button,decline,[TAG=button] [ROLE=decline] बंद करें — मुझे कोलकाता के Gyapu ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
मुझे Nykaa पर पानी की बोतल की बचत नहीं चाहिए,confirmshaming,confirmshaming,hi,button,decline,[TAG=button] [ROLE=decline] मुझे Nykaa पर पानी की बोतल की बचत नहीं चाहिए,confirmshaming:hi:17,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, I don't want Rs. 199 off bluetooth speaker",confirmshaming,confirmshaming,en,span,modal_text,"[TAG=span] [ROLE=modal_text] No thanks, I don't want Rs. 199 off bluetooth speaker",confirmshaming:en:18,synthetic_v1,1,0,0,0,0,0,0,0
I'd rather pay full price for induction cooktop,confirmshaming,confirmshaming,en,span,modal_text,[TAG=span] [ROLE=modal_text] I'd rather pay full price for induction cooktop,confirmshaming:en:01,synthetic_v1,1,0,0,0,0,0,0,0
मलाई Reliance Digital मा योगा म्याट को बचत चाहिँदैन,confirmshaming,confirmshaming,ne,a,decline,[TAG=a] [ROLE=decline] मलाई Reliance Digital मा योगा म्याट को बचत चाहिँदैन,confirmshaming:ne:17,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, I don't want Rs. 2,999 off induction cooktop",confirmshaming,confirmshaming,en,button,decline,"[TAG=button] [ROLE=decline] No thanks, I don't want Rs. 2,999 off induction cooktop",confirmshaming:en:18,synthetic_v1,1,0,0,0,0,0,0,0
छोड़ें — मुझे एयर फ्रायर पर बचत नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] छोड़ें — मुझे एयर फ्रायर पर बचत नहीं चाहिए,confirmshaming:hi:04,synthetic_v1,1,0,0,0,0,0,0,0
मलाई Flipkart मा राइस कुकर को बचत चाहिँदैन,confirmshaming,confirmshaming,ne,a,decline,[TAG=a] [ROLE=decline] मलाई Flipkart मा राइस कुकर को बचत चाहिँदैन,confirmshaming:ne:17,synthetic_v1,1,0,0,0,0,0,0,0
मुझे HamroBazar पर कॉफी मेकर की बचत नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] मुझे HamroBazar पर कॉफी मेकर की बचत नहीं चाहिए,confirmshaming:hi:17,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need 50% off air fryer,confirmshaming,confirmshaming,en,a,decline,[TAG=a] [ROLE=decline] Close — I don't need 50% off air fryer,confirmshaming:en:14,synthetic_v1,1,0,0,0,0,0,0,0
रु. 399 बढी तिर्न मलाई ठीकै छ,confirmshaming,confirmshaming,ne,button,decline,[TAG=button] [ROLE=decline] रु. 399 बढी तिर्न मलाई ठीकै छ,confirmshaming:ne:13,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई फेस वास मा रु. 499 छुट चाहिँदैन",confirmshaming,confirmshaming,ne,button,decline,"[TAG=button] [ROLE=decline] पर्दैन, मलाई फेस वास मा रु. 499 छुट चाहिँदैन",confirmshaming:ne:16,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे पटना के Pepperfry ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे पटना के Pepperfry ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, पावर बैंक के लिए रु. 499 ज़्यादा देना ठीक है",confirmshaming,confirmshaming,hi,span,modal_text,"[TAG=span] [ROLE=modal_text] नहीं, पावर बैंक के लिए रु. 499 ज़्यादा देना ठीक है",confirmshaming:hi:19,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need 60% off rice cooker,confirmshaming,confirmshaming,en,span,modal_text,[TAG=span] [ROLE=modal_text] Close — I don't need 60% off rice cooker,confirmshaming:en:14,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, paying Rs. 1,499 more for sunglasses is fine",confirmshaming,confirmshaming,en,button,decline,"[TAG=button] [ROLE=decline] No thanks, paying Rs. 1,499 more for sunglasses is fine",confirmshaming:en:21,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, I don't want Rs. 299 off electric kettle",confirmshaming,confirmshaming,en,span,modal_text,"[TAG=span] [ROLE=modal_text] No thanks, I don't want Rs. 299 off electric kettle",confirmshaming:en:18,synthetic_v1,1,0,0,0,0,0,0,0
I'll risk it and pay Rs. 299 more later,confirmshaming,confirmshaming,en,button,decline,[TAG=button] [ROLE=decline] I'll risk it and pay Rs. 299 more later,confirmshaming:en:12,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, इन्डक्सन चुल्हो का लागि रु. 149 बढी तिर्न ठीकै छ",confirmshaming,confirmshaming,ne,a,decline,"[TAG=a] [ROLE=decline] पर्दैन, इन्डक्सन चुल्हो का लागि रु. 149 बढी तिर्न ठीकै छ",confirmshaming:ne:19,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे भोपाल के Meesho ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे भोपाल के Meesho ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
मुझे Blinkit पर योगा मैट की बचत नहीं चाहिए,confirmshaming,confirmshaming,hi,span,modal_text,[TAG=span] [ROLE=modal_text] मुझे Blinkit पर योगा मैट की बचत नहीं चाहिए,confirmshaming:hi:17,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई स्टडी लाइट मा रु. 799 छुट चाहिँदैन",confirmshaming,confirmshaming,ne,span,modal_text,"[TAG=span] [ROLE=modal_text] पर्दैन, मलाई स्टडी लाइट मा रु. 799 छुट चाहिँदैन",confirmshaming:ne:16,synthetic_v1,1,0,0,0,0,0,0,0
मुझे JioMart पर कॉटन कुर्ता की बचत नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] मुझे JioMart पर कॉटन कुर्ता की बचत नहीं चाहिए,confirmshaming:hi:17,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, my office chair can wait",confirmshaming,confirmshaming,en,span,modal_text,"[TAG=span] [ROLE=modal_text] No thanks, my office chair can wait",confirmshaming:en:08,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need JioMart deals in Pokhara,confirmshaming,confirmshaming,en,a,decline,[TAG=a] [ROLE=decline] Close — I don't need JioMart deals in Pokhara,confirmshaming:en:20,synthetic_v1,1,0,0,0,0,0,0,0
I'd rather not save on running shoes at Snapdeal,confirmshaming,confirmshaming,en,button,decline,[TAG=button] [ROLE=decline] I'd rather not save on running shoes at Snapdeal,confirmshaming:en:19,synthetic_v1,1,0,0,0,0,0,0,0
I'd rather not save on smartwatch at Ajio,confirmshaming,confirmshaming,en,a,decline,[TAG=a] [ROLE=decline] I'd rather not save on smartwatch at Ajio,confirmshaming:en:19,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, हेयर ड्रायर के लिए रु. 49 ज़्यादा देना ठीक है",confirmshaming,confirmshaming,hi,button,decline,"[TAG=button] [ROLE=decline] नहीं, हेयर ड्रायर के लिए रु. 49 ज़्यादा देना ठीक है",confirmshaming:hi:19,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, my gaming mouse can wait",confirmshaming,confirmshaming,en,span,modal_text,"[TAG=span] [ROLE=modal_text] No thanks, my gaming mouse can wait",confirmshaming:en:08,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे रांची के Lenskart ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,button,decline,[TAG=button] [ROLE=decline] बंद करें — मुझे रांची के Lenskart ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need 30% off noise cancelling headphones,confirmshaming,confirmshaming,en,span,modal_text,[TAG=span] [ROLE=modal_text] Close — I don't need 30% off noise cancelling headphones,confirmshaming:en:14,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need 50% off study lamp,confirmshaming,confirmshaming,en,button,decline,[TAG=button] [ROLE=decline] Close — I don't need 50% off study lamp,confirmshaming:en:14,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे कानपुर के Kinbech ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,span,modal_text,[TAG=span] [ROLE=modal_text] बंद करें — मुझे कानपुर के Kinbech ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"Maybe later, I enjoy overpaying for phone case",confirmshaming,confirmshaming,en,a,decline,"[TAG=a] [ROLE=decline] Maybe later, I enjoy overpaying for phone case",confirmshaming:en:07,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे नागपुर के Tata Cliq ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे नागपुर के Tata Cliq ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, रनिङ जुत्ता का लागि रु. 1,999 बढी तिर्न ठीकै छ",confirmshaming,confirmshaming,ne,button,decline,"[TAG=button] [ROLE=decline] पर्दैन, रनिङ जुत्ता का लागि रु. 1,999 बढी तिर्न ठीकै छ",confirmshaming:ne:19,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई हेयर ड्रायर मन पर्दैन",confirmshaming,confirmshaming,ne,a,decline,"[TAG=a] [ROLE=decline] पर्दैन, मलाई हेयर ड्रायर मन पर्दैन",confirmshaming:ne:14,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, रनिङ जुत्ता का लागि रु. 149 बढी तिर्न ठीकै छ",confirmshaming,confirmshaming,ne,span,modal_text,"[TAG=span] [ROLE=modal_text] पर्दैन, रनिङ जुत्ता का लागि रु. 149 बढी तिर्न ठीकै छ",confirmshaming:ne:19,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई कफी मेकर मा रु. 299 छुट चाहिँदैन",confirmshaming,confirmshaming,ne,button,decline,"[TAG=button] [ROLE=decline] पर्दैन, मलाई कफी मेकर मा रु. 299 छुट चाहिँदैन",confirmshaming:ne:16,synthetic_v1,1,0,0,0,0,0,0,0
Close — I don't need 25% off study lamp,confirmshaming,confirmshaming,en,button,decline,[TAG=button] [ROLE=decline] Close — I don't need 25% off study lamp,confirmshaming:en:14,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे ट्रेकिंग जैकेट पर रु. 249 छूट नहीं चाहिए",confirmshaming,confirmshaming,hi,button,decline,"[TAG=button] [ROLE=decline] नहीं, मुझे ट्रेकिंग जैकेट पर रु. 249 छूट नहीं चाहिए",confirmshaming:hi:16,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे दिल्ली के OkDam ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे दिल्ली के OkDam ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, paying Rs. 249 more for school bag is fine",confirmshaming,confirmshaming,en,a,decline,"[TAG=a] [ROLE=decline] No thanks, paying Rs. 249 more for school bag is fine",confirmshaming:en:21,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे 30% छूट नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे 30% छूट नहीं चाहिए,confirmshaming:hi:10,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, कॉफी मेकर के लिए रु. 249 ज़्यादा देना ठीक है",confirmshaming,confirmshaming,hi,span,modal_text,"[TAG=span] [ROLE=modal_text] नहीं, कॉफी मेकर के लिए रु. 249 ज़्यादा देना ठीक है",confirmshaming:hi:19,synthetic_v1,1,0,0,0,0,0,0,0
मलाई कफी मेकर मा विशेष अफर चाहिँदैन,confirmshaming,confirmshaming,ne,span,modal_text,[TAG=span] [ROLE=modal_text] मलाई कफी मेकर मा विशेष अफर चाहिँदैन,confirmshaming:ne:03,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे अहमदाबाद के Lenskart ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] बंद करें — मुझे अहमदाबाद के Lenskart ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, paying Rs. 199 more for sunglasses is fine",confirmshaming,confirmshaming,en,button,decline,"[TAG=button] [ROLE=decline] No thanks, paying Rs. 199 more for sunglasses is fine",confirmshaming:en:21,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे ऑफिस चेयर पर रु. 2,999 छूट नहीं चाहिए",confirmshaming,confirmshaming,hi,button,decline,"[TAG=button] [ROLE=decline] नहीं, मुझे ऑफिस चेयर पर रु. 2,999 छूट नहीं चाहिए",confirmshaming:hi:16,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे बैकपैक पसंद नहीं",confirmshaming,confirmshaming,hi,a,decline,"[TAG=a] [ROLE=decline] नहीं, मुझे बैकपैक पसंद नहीं",confirmshaming:hi:14,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, my induction cooktop can wait",confirmshaming,confirmshaming,en,a,decline,"[TAG=a] [ROLE=decline] No thanks, my induction cooktop can wait",confirmshaming:en:08,synthetic_v1,1,0,0,0,0,0,0,0
मलाई Daraz मा कटन कुर्ता को बचत चाहिँदैन,confirmshaming,confirmshaming,ne,a,decline,[TAG=a] [ROLE=decline] मलाई Daraz मा कटन कुर्ता को बचत चाहिँदैन,confirmshaming:ne:17,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, my formal shirt can wait",confirmshaming,confirmshaming,en,button,decline,"[TAG=button] [ROLE=decline] No thanks, my formal shirt can wait",confirmshaming:en:08,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, घामको चस्मा का लागि रु. 1,499 बढी तिर्न ठीकै छ",confirmshaming,confirmshaming,ne,span,modal_text,"[TAG=span] [ROLE=modal_text] पर्दैन, घामको चस्मा का लागि रु. 1,499 बढी तिर्न ठीकै छ",confirmshaming:ne:19,synthetic_v1,1,0,0,0,0,0,0,0
"No thanks, I don't want Rs. 499 off sunglasses",confirmshaming,confirmshaming,en,button,decline,"[TAG=button] [ROLE=decline] No thanks, I don't want Rs. 499 off sunglasses",confirmshaming:en:18,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे जयपुर के Amazon ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,span,modal_text,[TAG=span] [ROLE=modal_text] बंद करें — मुझे जयपुर के Amazon ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
मुझे सर्दी का कंबल पर खास ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,a,decline,[TAG=a] [ROLE=decline] मुझे सर्दी का कंबल पर खास ऑफ़र नहीं चाहिए,confirmshaming:hi:03,synthetic_v1,1,0,0,0,0,0,0,0
मलाई BigBasket मा रनिङ जुत्ता को बचत चाहिँदैन,confirmshaming,confirmshaming,ne,span,modal_text,[TAG=span] [ROLE=modal_text] मलाई BigBasket मा रनिङ जुत्ता को बचत चाहिँदैन,confirmshaming:ne:17,synthetic_v1,1,0,0,0,0,0,0,0
बन्द गर्नुहोस् — मलाई तनहुँ का Muncha अफर चाहिँदैन,confirmshaming,confirmshaming,ne,button,decline,[TAG=button] [ROLE=decline] बन्द गर्नुहोस् — मलाई तनहुँ का Muncha अफर चाहिँदैन,confirmshaming:ne:18,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई स्कुल ब्याग मा रु. 1,999 छुट चाहिँदैन",confirmshaming,confirmshaming,ne,span,modal_text,"[TAG=span] [ROLE=modal_text] पर्दैन, मलाई स्कुल ब्याग मा रु. 1,999 छुट चाहिँदैन",confirmshaming:ne:16,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे स्टडी लैंप पर मुफ़्त डिलीवरी नहीं चाहिए",confirmshaming,confirmshaming,hi,a,decline,"[TAG=a] [ROLE=decline] नहीं, मुझे स्टडी लैंप पर मुफ़्त डिलीवरी नहीं चाहिए",confirmshaming:hi:08,synthetic_v1,1,0,0,0,0,0,0,0
मलाई Lenskart मा प्रोटिन पाउडर को बचत चाहिँदैन,confirmshaming,confirmshaming,ne,button,decline,[TAG=button] [ROLE=decline] मलाई Lenskart मा प्रोटिन पाउडर को बचत चाहिँदैन,confirmshaming:ne:17,synthetic_v1,1,0,0,0,0,0,0,0
अर्डर सुरक्षा बिना जारी राख्नुहोस्,confirmshaming,confirmshaming,ne,span,modal_text,[TAG=span] [ROLE=modal_text] अर्डर सुरक्षा बिना जारी राख्नुहोस्,confirmshaming:ne:09,synthetic_v1,1,0,0,0,0,0,0,0
"पर्दैन, मलाई ब्याकप्याक मा रु. 199 छुट चाहिँदैन",confirmshaming,confirmshaming,ne,a,decline,"[TAG=a] [ROLE=decline] पर्दैन, मलाई ब्याकप्याक मा रु. 199 छुट चाहिँदैन",confirmshaming:ne:16,synthetic_v1,1,0,0,0,0,0,0,0
बंद करें — मुझे कोलकाता के Tata Cliq ऑफ़र नहीं चाहिए,confirmshaming,confirmshaming,hi,button,decline,[TAG=button] [ROLE=decline] बंद करें — मुझे कोलकाता के Tata Cliq ऑफ़र नहीं चाहिए,confirmshaming:hi:18,synthetic_v1,1,0,0,0,0,0,0,0
"नहीं, मुझे फोन कवर पर रु. 1,199 छूट नहीं चाहिए",confirmshaming,confirmshaming,hi,a,decline,"[TAG=a] [ROLE=decline] नहीं, मुझे फोन कवर पर रु. 1,199 छूट नहीं चाहिए",confirmshaming:hi:16,synthetic_v1,1,0,0,0,0,0,0,0
