text,labels,primary_label,lang,tag,role,model_input,template_id,source,y_confirmshaming,y_false_urgency,y_forced_action,y_obstruction,y_scarcity,y_sneaking,y_social_proof,y_benign
जयपुर शिपिंग: रु. 699,benign,benign,hi,button,cta,[TAG=button] [ROLE=cta] जयपुर शिपिंग: रु. 699,benign:hi:71,synthetic_v1,0,0,0,0,0,0,0,1
"धनगढी मा स्टकमा, 10 दिनमा पठाइन्छ",benign,benign,ne,span,label,"[TAG=span] [ROLE=label] धनगढी मा स्टकमा, 10 दिनमा पठाइन्छ",benign:ne:76,synthetic_v1,0,0,0,0,0,0,0,1
स्मार्टवॉच पर रु. 249 से EMI,benign,benign,hi,span,label,[TAG=span] [ROLE=label] स्मार्टवॉच पर रु. 249 से EMI,benign:hi:74,synthetic_v1,0,0,0,0,0,0,0,1
Salesberry मा कटन कुर्ता मूल्य तुलना गर्नुहोस्,benign,benign,ne,button,cta,[TAG=button] [ROLE=cta] Salesberry मा कटन कुर्ता मूल्य तुलना गर्नुहोस्,benign:ne:73,synthetic_v1,0,0,0,0,0,0,0,1
वारेन्टी: 8 वर्ष,benign,benign,ne,button,cta,[TAG=button] [ROLE=cta] वारेन्टी: 8 वर्ष,benign:ne:36,synthetic_v1,0,0,0,0,0,0,0,1
"In stock in Surat, ships in 3 days",benign,benign,en,li,nav,"[TAG=li] [ROLE=nav] In stock in Surat, ships in 3 days",benign:en:77,synthetic_v1,0,0,0,0,0,0,0,1
Daraz return policy: 1 days,benign,benign,en,span,label,[TAG=span] [ROLE=label] Daraz return policy: 1 days,benign:en:66,synthetic_v1,0,0,0,0,0,0,0,1
सभी फॉर्मल शर्ट देखें,benign,benign,hi,span,label,[TAG=span] [ROLE=label] सभी फॉर्मल शर्ट देखें,benign:hi:20,synthetic_v1,0,0,0,0,0,0,0,1
"बिक्रेता: रोहन ट्रेडर्स, काठमाडौँ",benign,benign,ne,button,cta,"[TAG=button] [ROLE=cta] बिक्रेता: रोहन ट्रेडर्स, काठमाडौँ",benign:ne:48,synthetic_v1,0,0,0,0,0,0,0,1
मेरो अर्डरबाट Meesho अर्डर रद्द गर्नुहोस्,benign,benign,ne,li,nav,[TAG=li] [ROLE=nav] मेरो अर्डरबाट Meesho अर्डर रद्द गर्नुहोस्,benign:ne:68,synthetic_v1,0,0,0,0,0,0,0,1
"स्कूल बैग — 2,038 समीक्षाएँ, रांची गोदाम",benign,benign,hi,span,label,"[TAG=span] [ROLE=label] स्कूल बैग — 2,038 समीक्षाएँ, रांची गोदाम",benign:hi:72,synthetic_v1,0,0,0,0,0,0,0,1
Delivery to Lucknow in 5 days,benign,benign,en,li,nav,[TAG=li] [ROLE=nav] Delivery to Lucknow in 5 days,benign:en:64,synthetic_v1,0,0,0,0,0,0,0,1
तनहुँ ढुवानी: रु. 499,benign,benign,ne,button,cta,[TAG=button] [ROLE=cta] तनहुँ ढुवानी: रु. 499,benign:ne:71,synthetic_v1,0,0,0,0,0,0,0,1
Price: Rs. 499,benign,benign,en,span,label,[TAG=span] [ROLE=label] Price: Rs. 499,benign:en:45,synthetic_v1,0,0,0,0,0,0,0,1
"5,872 इकाई बिकीं",benign,benign,hi,label,form,"[TAG=label] [ROLE=form] 5,872 इकाई बिकीं",benign:hi:47,synthetic_v1,0,0,0,0,0,0,0,1
"Sold by Prakash Store, Delhi",benign,benign,en,p,body,"[TAG=p] [ROLE=body] Sold by Prakash Store, Delhi",benign:en:65,synthetic_v1,0,0,0,0,0,0,0,1
"In stock in Mumbai, ships in 3 days",benign,benign,en,label,form,"[TAG=label] [ROLE=form] In stock in Mumbai, ships in 3 days",benign:en:77,synthetic_v1,0,0,0,0,0,0,0,1
कानपुर में 7 दिन में डिलीवरी,benign,benign,hi,span,label,[TAG=span] [ROLE=label] कानपुर में 7 दिन में डिलीवरी,benign:hi:63,synthetic_v1,0,0,0,0,0,0,0,1
JioMart return policy: 2 days,benign,benign,en,button,cta,[TAG=button] [ROLE=cta] JioMart return policy: 2 days,benign:en:66,synthetic_v1,0,0,0,0,0,0,0,1
Add formal shirt to cart,benign,benign,en,label,form,[TAG=label] [ROLE=form] Add formal shirt to cart,benign:en:00,synthetic_v1,0,0,0,0,0,0,0,1
Flipkart customer care: our support line,benign,benign,en,button,cta,[TAG=button] [ROLE=cta] Flipkart customer care: our support line,benign:en:76,synthetic_v1,0,0,0,0,0,0,0,1
योगा म्याट — रु. 699,benign,benign,ne,span,label,[TAG=span] [ROLE=label] योगा म्याट — रु. 699,benign:ne:46,synthetic_v1,0,0,0,0,0,0,0,1
"In stock in Patna, ships in 3 days",benign,benign,en,p,body,"[TAG=p] [ROLE=body] In stock in Patna, ships in 3 days",benign:en:77,synthetic_v1,0,0,0,0,0,0,0,1
JioMart मा फर्मल सर्ट खोज्नुहोस्,benign,benign,ne,h2,heading,[TAG=h2] [ROLE=heading] JioMart मा फर्मल सर्ट खोज्नुहोस्,benign:ne:66,synthetic_v1,0,0,0,0,0,0,0,1
एयर फ्रायर उपलब्ध होने पर सूचित करें,benign,benign,hi,button,cta,[TAG=button] [ROLE=cta] एयर फ्रायर उपलब्ध होने पर सूचित करें,benign:hi:33,synthetic_v1,0,0,0,0,0,0,0,1
HamroBazar मा योगा म्याट मा 15% छुट,benign,benign,ne,p,body,[TAG=p] [ROLE=body] HamroBazar मा योगा म्याट मा 15% छुट,benign:ne:70,synthetic_v1,0,0,0,0,0,0,0,1
"EMI from Rs. 1,199 on running shoes",benign,benign,en,h2,heading,"[TAG=h2] [ROLE=heading] EMI from Rs. 1,199 on running shoes",benign:en:75,synthetic_v1,0,0,0,0,0,0,0,1
"विक्रेता: पूजा स्टोर, नागपुर",benign,benign,hi,p,body,"[TAG=p] [ROLE=body] विक्रेता: पूजा स्टोर, नागपुर",benign:hi:64,synthetic_v1,0,0,0,0,0,0,0,1
पावर बैंक पर रु. 999 से EMI,benign,benign,hi,label,form,[TAG=label] [ROLE=form] पावर बैंक पर रु. 999 से EMI,benign:hi:74,synthetic_v1,0,0,0,0,0,0,0,1
induction cooktop at Reliance Digital — Rs. 249,benign,benign,en,li,nav,[TAG=li] [ROLE=nav] induction cooktop at Reliance Digital — Rs. 249,benign:en:63,synthetic_v1,0,0,0,0,0,0,0,1
Nykaa रिटर्न नीति: 2 दिन,benign,benign,hi,label,form,[TAG=label] [ROLE=form] Nykaa रिटर्न नीति: 2 दिन,benign:hi:65,synthetic_v1,0,0,0,0,0,0,0,1
Myntra फिर्ता नीति: 1 दिन,benign,benign,ne,a,nav,[TAG=a] [ROLE=nav] Myntra फिर्ता नीति: 1 दिन,benign:ne:65,synthetic_v1,0,0,0,0,0,0,0,1
367 सत्यापित समीक्षाएँ,benign,benign,hi,span,label,[TAG=span] [ROLE=label] 367 सत्यापित समीक्षाएँ,benign:hi:23,synthetic_v1,0,0,0,0,0,0,0,1
"वीरगन्ज मा स्टकमा, 3 दिनमा पठाइन्छ",benign,benign,ne,p,body,"[TAG=p] [ROLE=body] वीरगन्ज मा स्टकमा, 3 दिनमा पठाइन्छ",benign:ne:76,synthetic_v1,0,0,0,0,0,0,0,1
Shipping to Delhi: Rs. 449,benign,benign,en,p,body,[TAG=p] [ROLE=body] Shipping to Delhi: Rs. 449,benign:en:72,synthetic_v1,0,0,0,0,0,0,0,1
Shipping to Mumbai: Rs. 49,benign,benign,en,li,nav,[TAG=li] [ROLE=nav] Shipping to Mumbai: Rs. 49,benign:en:72,synthetic_v1,0,0,0,0,0,0,0,1
"hair dryer — 889 reviews, Mumbai warehouse",benign,benign,en,button,cta,"[TAG=button] [ROLE=cta] hair dryer — 889 reviews, Mumbai warehouse",benign:en:73,synthetic_v1,0,0,0,0,0,0,0,1
Shipping fee: Rs. 999 (shown before payment),benign,benign,en,span,label,[TAG=span] [ROLE=label] Shipping fee: Rs. 999 (shown before payment),benign:en:43,synthetic_v1,0,0,0,0,0,0,0,1
