text,labels,primary_label,lang,tag,role,model_input,template_id,source,y_confirmshaming,y_false_urgency,y_forced_action,y_obstruction,y_scarcity,y_sneaking,y_social_proof,y_benign
ऑटो-रिन्यूअल बंद करने के लिए 3 दिन में हमारा ईमेल डेस्क से संपर्क करें,obstruction,obstruction,hi,p,help_text,[TAG=p] [ROLE=help_text] ऑटो-रिन्यूअल बंद करने के लिए 3 दिन में हमारा ईमेल डेस्क से संपर्क करें,obstruction:hi:21,synthetic_v1,0,0,0,1,0,0,0,0
"To stop auto-renewal, contact our helpline within 7 days",obstruction,obstruction,en,a,support_link,"[TAG=a] [ROLE=support_link] To stop auto-renewal, contact our helpline within 7 days",obstruction:en:21,synthetic_v1,0,0,0,1,0,0,0,0
डेनिम जिन्स अर्डरबाट हटाउन हाम्रो सपोर्ट नम्बर मा सम्पर्क गर्नुहोस्,obstruction,obstruction,ne,div,modal_text,[TAG=div] [ROLE=modal_text] डेनिम जिन्स अर्डरबाट हटाउन हाम्रो सपोर्ट नम्बर मा सम्पर्क गर्नुहोस्,obstruction:ne:19,synthetic_v1,0,0,0,1,0,0,0,0
"To cancel your Lenskart order, contact our support line",obstruction,obstruction,en,a,support_link,"[TAG=a] [ROLE=support_link] To cancel your Lenskart order, contact our support line",obstruction:en:15,synthetic_v1,0,0,0,1,0,0,0,0
डेनिम जिन्स सट्टा अनुरोध हाम्रो इमेल डेस्क बाट मात्र हुन्छ,obstruction,obstruction,ne,div,modal_text,[TAG=div] [ROLE=modal_text] डेनिम जिन्स सट्टा अनुरोध हाम्रो इमेल डेस्क बाट मात्र हुन्छ,obstruction:ne:25,synthetic_v1,0,0,0,1,0,0,0,0
Meesho अर्डर रद्द गर्न लाइभ च्याट मा सम्पर्क गर्नुहोस्,obstruction,obstruction,ne,a,support_link,[TAG=a] [ROLE=support_link] Meesho अर्डर रद्द गर्न लाइभ च्याट मा सम्पर्क गर्नुहोस्,obstruction:ne:15,synthetic_v1,0,0,0,1,0,0,0,0
"To close your Amazon account, write to our Facebook page",obstruction,obstruction,en,a,support_link,"[TAG=a] [ROLE=support_link] To close your Amazon account, write to our Facebook page",obstruction:en:17,synthetic_v1,0,0,0,1,0,0,0,0
Returning bluetooth speaker? Please call our Facebook page first,obstruction,obstruction,en,a,support_link,[TAG=a] [ROLE=support_link] Returning bluetooth speaker? Please call our Facebook page first,obstruction:en:22,synthetic_v1,0,0,0,1,0,0,0,0
Returning rice cooker? Please call our WhatsApp number first,obstruction,obstruction,en,div,modal_text,[TAG=div] [ROLE=modal_text] Returning rice cooker? Please call our WhatsApp number first,obstruction:en:22,synthetic_v1,0,0,0,1,0,0,0,0
फोन कवर को ऑर्डर से हटाने के लिए हमारा WhatsApp नंबर से संपर्क करें,obstruction,obstruction,hi,div,modal_text,[TAG=div] [ROLE=modal_text] फोन कवर को ऑर्डर से हटाने के लिए हमारा WhatsApp नंबर से संपर्क करें,obstruction:hi:19,synthetic_v1,0,0,0,1,0,0,0,0
Ajio रद्दीकरणका लागि कल सेन्टर बाट प्रमाणीकरण आवश्यक छ,obstruction,obstruction,ne,a,support_link,[TAG=a] [ROLE=support_link] Ajio रद्दीकरणका लागि कल सेन्टर बाट प्रमाणीकरण आवश्यक छ,obstruction:ne:20,synthetic_v1,0,0,0,1,0,0,0,0
पानी की बोतल एक्सचेंज अनुरोध केवल हमारी हेल्पलाइन से होगा,obstruction,obstruction,hi,p,help_text,[TAG=p] [ROLE=help_text] पानी की बोतल एक्सचेंज अनुरोध केवल हमारी हेल्पलाइन से होगा,obstruction:hi:25,synthetic_v1,0,0,0,1,0,0,0,0
Salesberry मा सदस्यता परिवर्तन लाइभ च्याट बाट मात्र सम्भव छ,obstruction,obstruction,ne,div,modal_text,[TAG=div] [ROLE=modal_text] Salesberry मा सदस्यता परिवर्तन लाइभ च्याट बाट मात्र सम्भव छ,obstruction:ne:18,synthetic_v1,0,0,0,1,0,0,0,0
Pepperfry डेटा हटाने के लिए हमारा Viber सपोर्ट को लिखित अनुरोध भेजें,obstruction,obstruction,hi,a,support_link,[TAG=a] [ROLE=support_link] Pepperfry डेटा हटाने के लिए हमारा Viber सपोर्ट को लिखित अनुरोध भेजें,obstruction:hi:24,synthetic_v1,0,0,0,1,0,0,0,0
ब्याकप्याक को रिफन्ड हाम्रो इमेल डेस्क मार्फत मात्र माग्नुहोस्,obstruction,obstruction,ne,div,modal_text,[TAG=div] [ROLE=modal_text] ब्याकप्याक को रिफन्ड हाम्रो इमेल डेस्क मार्फत मात्र माग्नुहोस्,obstruction:ne:16,synthetic_v1,0,0,0,1,0,0,0,0
Reach our Facebook page to remove cotton kurta from your order,obstruction,obstruction,en,a,support_link,[TAG=a] [ROLE=support_link] Reach our Facebook page to remove cotton kurta from your order,obstruction:en:19,synthetic_v1,0,0,0,1,0,0,0,0
Myntra रिफन्डका लागि हाम्रो इमेल डेस्क को स्वीकृति चाहिन्छ,obstruction,obstruction,ne,a,support_link,[TAG=a] [ROLE=support_link] Myntra रिफन्डका लागि हाम्रो इमेल डेस्क को स्वीकृति चाहिन्छ,obstruction:ne:23,synthetic_v1,0,0,0,1,0,0,0,0
"To cancel your Snapdeal order, contact our helpline",obstruction,obstruction,en,p,help_text,"[TAG=p] [ROLE=help_text] To cancel your Snapdeal order, contact our helpline",obstruction:en:15,synthetic_v1,0,0,0,1,0,0,0,0
"To stop auto-renewal, contact our Facebook page within 5 days",obstruction,obstruction,en,p,help_text,"[TAG=p] [ROLE=help_text] To stop auto-renewal, contact our Facebook page within 5 days",obstruction:en:21,synthetic_v1,0,0,0,1,0,0,0,0
Gyapu पर सब्सक्रिप्शन बदलाव केवल हमारा Viber सपोर्ट से संभव है,obstruction,obstruction,hi,p,help_text,[TAG=p] [ROLE=help_text] Gyapu पर सब्सक्रिप्शन बदलाव केवल हमारा Viber सपोर्ट से संभव है,obstruction:hi:18,synthetic_v1,0,0,0,1,0,0,0,0
स्मार्टवाच को रिफन्ड लाइभ च्याट मार्फत मात्र माग्नुहोस्,obstruction,obstruction,ne,a,support_link,[TAG=a] [ROLE=support_link] स्मार्टवाच को रिफन्ड लाइभ च्याट मार्फत मात्र माग्नुहोस्,obstruction:ne:16,synthetic_v1,0,0,0,1,0,0,0,0
Salesberry डेटा हटाने के लिए हमारा Facebook पेज को लिखित अनुरोध भेजें,obstruction,obstruction,hi,div,modal_text,[TAG=div] [ROLE=modal_text] Salesberry डेटा हटाने के लिए हमारा Facebook पेज को लिखित अनुरोध भेजें,obstruction:hi:24,synthetic_v1,0,0,0,1,0,0,0,0
प्लान बदलने के लिए डेस्कटॉप साइट पर जाएं,obstruction,obstruction,hi,a,support_link,[TAG=a] [ROLE=support_link] प्लान बदलने के लिए डेस्कटॉप साइट पर जाएं,obstruction:hi:09,synthetic_v1,0,0,0,1,0,0,0,0
Salesberry डेटा हटाने के लिए लाइव चैट को लिखित अनुरोध भेजें,obstruction,obstruction,hi,div,modal_text,[TAG=div] [ROLE=modal_text] Salesberry डेटा हटाने के लिए लाइव चैट को लिखित अनुरोध भेजें,obstruction:hi:24,synthetic_v1,0,0,0,1,0,0,0,0
