text,labels,primary_label,lang,tag,role,model_input,template_id,source,y_confirmshaming,y_false_urgency,y_forced_action,y_obstruction,y_scarcity,y_sneaking,y_social_proof,y_benign
तपाईंको कार्ट 1 घण्टा मा खाली हुनेछ,false_urgency,false_urgency,ne,div,banner,[TAG=div] [ROLE=banner] तपाईंको कार्ट 1 घण्टा मा खाली हुनेछ,false_urgency:ne:03,synthetic_v1,0,1,0,0,0,0,0,0
Deal of the day ends in 1 hour,false_urgency,false_urgency,en,p,promo,[TAG=p] [ROLE=promo] Deal of the day ends in 1 hour,false_urgency:en:02,synthetic_v1,0,1,0,0,0,0,0,0
सिर्फ़ आज! धूप का चश्मा पर 20% छूट,false_urgency,false_urgency,hi,div,banner,[TAG=div] [ROLE=banner] सिर्फ़ आज! धूप का चश्मा पर 20% छूट,false_urgency:hi:10,synthetic_v1,0,1,0,0,0,0,0,0
सिर्फ़ आज! योगा मैट पर 25% छूट,false_urgency,false_urgency,hi,span,timer,[TAG=span] [ROLE=timer] सिर्फ़ आज! योगा मैट पर 25% छूट,false_urgency:hi:10,synthetic_v1,0,1,0,0,0,0,0,0
यो मूल्य तपाईंका लागि 3 घण्टा सम्म सुरक्षित,false_urgency,false_urgency,ne,p,promo,[TAG=p] [ROLE=promo] यो मूल्य तपाईंका लागि 3 घण्टा सम्म सुरक्षित,false_urgency:ne:12,synthetic_v1,0,1,0,0,0,0,0,0
Order noise cancelling headphones within 15 minutes for delivery to Kolkata,false_urgency,false_urgency,en,span,timer,[TAG=span] [ROLE=timer] Order noise cancelling headphones within 15 minutes for delivery to Kolkata,false_urgency:en:18,synthetic_v1,0,1,0,0,0,0,0,0
सिर्फ़ आज! योगा मैट पर 15% छूट,false_urgency,false_urgency,hi,p,promo,[TAG=p] [ROLE=promo] सिर्फ़ आज! योगा मैट पर 15% छूट,false_urgency:hi:10,synthetic_v1,0,1,0,0,0,0,0,0
Kinbech पर स्कूल बैग की सेल 14:59 में खत्म,false_urgency,false_urgency,hi,span,timer,[TAG=span] [ROLE=timer] Kinbech पर स्कूल बैग की सेल 14:59 में खत्म,false_urgency:hi:17,synthetic_v1,0,1,0,0,0,0,0,0
FirstCry पर ट्रेकिंग जैकेट की सेल 24 घंटे में खत्म,false_urgency,false_urgency,hi,p,promo,[TAG=p] [ROLE=promo] FirstCry पर ट्रेकिंग जैकेट की सेल 24 घंटे में खत्म,false_urgency:hi:17,synthetic_v1,0,1,0,0,0,0,0,0
Today only! 20% off formal shirt,false_urgency,false_urgency,en,p,promo,[TAG=p] [ROLE=promo] Today only! 20% off formal shirt,false_urgency:en:10,synthetic_v1,0,1,0,0,0,0,0,0
