text,labels,primary_label,lang,tag,role,model_input,template_id,source,y_confirmshaming,y_false_urgency,y_forced_action,y_obstruction,y_scarcity,y_sneaking,y_social_proof,y_benign
"1,765 bought yoga mat in the last 2 hours",social_proof,social_proof,en,div,badge,"[TAG=div] [ROLE=badge] 1,765 bought yoga mat in the last 2 hours",social_proof:en:02,synthetic_v1,0,0,0,0,0,0,1,0
एयर फ्रायर मा #1 ट्रेन्डिङ,social_proof,social_proof,ne,p,promo,[TAG=p] [ROLE=promo] एयर फ्रायर मा #1 ट्रेन्डिङ,social_proof:ne:03,synthetic_v1,0,0,0,0,0,0,1,0
Sagar from Jaipur bought phone case on Tata Cliq,social_proof,social_proof,en,span,toast,[TAG=span] [ROLE=toast] Sagar from Jaipur bought phone case on Tata Cliq,social_proof:en:16,synthetic_v1,0,0,0,0,0,0,1,0
"बागलुङ का 9,118 ग्राहकले हेयर ड्रायर छनोट गरे",social_proof,social_proof,ne,p,promo,"[TAG=p] [ROLE=promo] बागलुङ का 9,118 ग्राहकले हेयर ड्रायर छनोट गरे",social_proof:ne:11,synthetic_v1,0,0,0,0,0,0,1,0
"21,507 bought electric kettle in the last 24 hours",social_proof,social_proof,en,div,badge,"[TAG=div] [ROLE=badge] 21,507 bought electric kettle in the last 24 hours",social_proof:en:02,synthetic_v1,0,0,0,0,0,0,1,0
Pooja and 112 others recommend air fryer,social_proof,social_proof,en,span,toast,[TAG=span] [ROLE=toast] Pooja and 112 others recommend air fryer,social_proof:en:06,synthetic_v1,0,0,0,0,0,0,1,0
कानपुर में FirstCry पर स्पोर्ट्स सैंडल #1 है,social_proof,social_proof,hi,span,toast,[TAG=span] [ROLE=toast] कानपुर में FirstCry पर स्पोर्ट्स सैंडल #1 है,social_proof:hi:17,synthetic_v1,0,0,0,0,0,0,1,0
पोखरा मा कसैले भर्खर स्मार्टवाच किन्यो,social_proof,social_proof,ne,div,badge,[TAG=div] [ROLE=badge] पोखरा मा कसैले भर्खर स्मार्टवाच किन्यो,social_proof:ne:09,synthetic_v1,0,0,0,0,0,0,1,0
Bikash from Chitwan just bought this,social_proof,social_proof,en,p,promo,[TAG=p] [ROLE=promo] Bikash from Chitwan just bought this,social_proof:en:01,synthetic_v1,0,0,0,0,0,0,1,0
पछिल्लो 2 घण्टामा 512 ले पानीको बोतल किने,social_proof,social_proof,ne,span,toast,[TAG=span] [ROLE=toast] पछिल्लो 2 घण्टामा 512 ले पानीको बोतल किने,social_proof:ne:02,synthetic_v1,0,0,0,0,0,0,1,0
Pooja just saved Rs. 899 on this,social_proof,social_proof,en,p,promo,[TAG=p] [ROLE=promo] Pooja just saved Rs. 899 on this,social_proof:en:12,synthetic_v1,0,0,0,0,0,0,1,0
मुंबई में Gyapu पर बैकपैक #1 है,social_proof,social_proof,hi,span,toast,[TAG=span] [ROLE=toast] मुंबई में Gyapu पर बैकपैक #1 है,social_proof:hi:17,synthetic_v1,0,0,0,0,0,0,1,0
काठमाडौँ बाट प्रकाश ले भर्खर किन्नुभयो,social_proof,social_proof,ne,p,promo,[TAG=p] [ROLE=promo] काठमाडौँ बाट प्रकाश ले भर्खर किन्नुभयो,social_proof:ne:01,synthetic_v1,0,0,0,0,0,0,1,0
"काव्या और 9,118 अन्य सर्दी का कंबल की सलाह देते हैं",social_proof,social_proof,hi,span,toast,"[TAG=span] [ROLE=toast] काव्या और 9,118 अन्य सर्दी का कंबल की सलाह देते हैं",social_proof:hi:06,synthetic_v1,0,0,0,0,0,0,1,0
coffee maker is #1 on Daraz in Lucknow,social_proof,social_proof,en,span,toast,[TAG=span] [ROLE=toast] coffee maker is #1 on Daraz in Lucknow,social_proof:en:17,synthetic_v1,0,0,0,0,0,0,1,0
